iter	RMSE
0	4380.300309
1	4247.727928
2	4122.400017
3	4003.445939
4	3888.338369
5	3780.070741
6	3677.558296
7	3581.416049
8	3488.594639
9	3403.156444
10	3318.918831
11	3239.672841
12	3165.312719
13	3096.973803
14	3029.173636
15	2967.715688
16	2905.705093
17	2849.100989
18	2795.076964
19	2742.732985
20	2694.536495
21	2648.228661
22	2604.733241
23	2564.347101
24	2525.886709
25	2489.590179
26	2455.853611
27	2423.274821
28	2392.577017
29	2362.57817
30	2334.871342
31	2309.127796
32	2284.102804
33	2260.731966
34	2238.838154
35	2217.454171
36	2196.465908
37	2177.360141
38	2159.24491
39	2141.750815
40	2125.684575
41	2110.588331
42	2096.00179
43	2082.056651
44	2069.154581
45	2056.272326
46	2045.476562
47	2034.56067
48	2023.66611
49	2013.245235
50	2004.261455
51	1995.685294
52	1987.145532
53	1979.772273
54	1972.2464
55	1964.584342
56	1958.778824
57	1950.88476
58	1943.394156
59	1936.936533
60	1930.533587
61	1924.44486
62	1919.243048
63	1914.29443
64	1909.949485
65	1905.009684
66	1899.469168
67	1894.996781
68	1890.660603
69	1886.445816
70	1883.090051
71	1879.288547
72	1875.445841
73	1872.124851
74	1868.513186
75	1865.783983
76	1862.682686
77	1859.911279
78	1857.034937
79	1854.712074
80	1851.835395
81	1849.560679
82	1847.077892
83	1843.878569
84	1840.978405
85	1837.830665
86	1835.4082
87	1832.978404
88	1831.535105
89	1829.542684
90	1827.217624
91	1825.548908
92	1823.468427
93	1820.8646
94	1819.36446
95	1817.106065
96	1815.16843
97	1813.178986
98	1811.541964
99	1809.967564
100	1808.395435
101	1805.940695
102	1804.753383
103	1803.43663
104	1801.93408
105	1800.83871
106	1799.517966
107	1798.376633
108	1796.562278
109	1795.453975
110	1794.382673
111	1793.357436
112	1791.927124
113	1790.343619
114	1789.306675
115	1788.027438
116	1785.964932
117	1785.018504
118	1784.332042
119	1783.746636
120	1782.544589
121	1781.704411
122	1779.848813
123	1778.4487
124	1777.826947
125	1776.468892
126	1775.602793
127	1774.364742
128	1773.5208
129	1772.508459
130	1771.566286
131	1770.502096
132	1768.775426
133	1767.725176
134	1766.396723
135	1765.571405
136	1764.721541
137	1763.877978
138	1762.911497
139	1762.237136
140	1761.587652
141	1760.865657
142	1760.330087
143	1759.537202
144	1758.995724
145	1757.984392
146	1757.329005
147	1756.210701
148	1755.102617
149	1753.780091
150	1753.02294
151	1751.985316
152	1751.144395
153	1750.948318
154	1750.260714
155	1749.61851
156	1749.039302
157	1747.512128
158	1746.887926
159	1745.851709
