iter	Passed	Remaining
0	286	769349
1	525	705256
2	675	604710
3	834	559562
4	1010	542211
5	1206	539157
6	1391	532827
7	1614	540581
8	1900	565544
9	2187	585645
10	2429	591085
11	2677	596774
12	2928	602434
13	3083	588733
14	3256	580018
15	3496	583762
16	3668	576167
17	3878	575102
18	4051	568862
19	4257	567751
20	4470	567572
21	4659	564426
22	4890	566478
23	5086	564438
24	5411	576181
25	5650	578265
26	5834	574770
27	5988	568666
28	6268	574535
29	6416	568269
30	6690	573260
31	6894	571992
32	7105	571477
33	7412	578396
34	7563	573059
35	7870	579543
36	8148	583613
37	8425	587314
38	8618	585147
39	8951	592346
40	9159	591120
41	9316	586704
42	9498	584047
43	9708	583177
44	9979	585935
45	10169	583848
46	10402	584291
47	10556	580383
48	10681	575043
49	10799	569555
50	10942	565553
51	11097	562328
52	11314	562324
53	11505	560975
54	11667	558352
55	11939	560945
56	12054	556182
57	12235	554587
58	12449	554521
59	12817	561209
60	13083	563243
61	13304	563304
62	13483	561578
63	13695	561289
64	13865	559311
65	14131	561200
66	14356	561392
67	14545	560234
68	14757	559913
69	14938	558489
70	15187	559597
71	15592	566293
72	15884	568801
73	16029	566007
74	16196	564076
75	16373	562507
76	16552	561082
77	16759	560570
78	17023	561994
79	17295	563620
80	17553	564759
81	17742	563636
82	17977	564013
83	18168	563001
84	18334	561257
85	18543	560842
86	18708	559115
87	18911	558541
88	19249	561909
89	19445	561107
90	19613	559510
91	19867	560397
92	20145	561917
93	20337	561003
94	20596	561964
95	20839	562440
96	20972	559979
97	21132	558277
98	21264	555890
99	21434	554517
100	21599	553029
101	21747	551138
102	21921	549946
103	22107	549078
104	22364	549947
105	22521	548386
106	22698	547310
107	22871	546155
108	23032	544743
109	23204	543610
110	23432	543792
111	23657	543910
112	23817	542539
113	23954	540664
114	24097	538941
115	24270	537927
116	24430	536634
117	24638	536413
118	24818	535572
119	24992	534640
120	25197	534351
121	25349	532964
122	25496	531493
123	25673	530662
124	25844	529701
125	26133	531170
126	26400	532175
127	26620	532194
128	26866	532742
129	27142	533862
130	27352	533685
131	27511	532518
132	27658	531122
133	27947	532456
134	28176	532641
